Product_Name,Product_Description,Product_Price,Product_Initial_Price,Product_Discount,Product_URL,Product_Image_URL,Product_Tagging,Rating_Score,Review_Count,Product_Code
Nike Pacific,Men's Shoes,2577.0,4295.0,40,https://www.nike.com/ph/t/pacific-shoes-c7GpAPm7/HQ2052-103,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/85e11ae4-3daf-4a50-808f-b3cda751c76a/NIKE+PACIFIC.png",Recycled Materials,0.0,0,HQ2052-103
Nike Pacific,Men's Shoes,3436.0,4295.0,20,https://www.nike.com/ph/t/pacific-shoes-c7GpAPm7/HQ2052-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1c5d7465-4a44-4aea-8cba-35b566e0a96a/NIKE+PACIFIC.png",Recycled Materials,0.0,0,HQ2052-001
Nike Pacific,Men's Shoes,3436.0,4295.0,20,https://www.nike.com/ph/t/pacific-shoes-c7GpAPm7/HQ2052-200,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e1032769-6226-43ee-b3b9-cb3f8e41056c/NIKE+PACIFIC.png",Recycled Materials,0.0,0,HQ2052-200
Golden State Warriors Authentics,Men's Nike Dri-FIT NBA Training T-Shirt,1397.0,1995.0,30,https://www.nike.com/ph/t/golden-state-warriors-authentics-dri-fit-nba-training-t-shirt-XRGIaBeF/IB3577-495,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8a8dd431-2d87-491c-983a-798ffcdc60d9/GSW+M+NK+AUTH+PRTC+SS+TEE.png",Recycled Materials,0.0,0,IB3577-495
Nike Air Max Alpha Trainer 6,Men's Workout Shoes,2747.0,4995.0,45,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-003,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/214efa1f-49df-4c13-9994-47ffcc183c60/M+AIR+MAX+ALPHA+TRAINER+6.png",Recycled Materials,4.7,180,FQ1833-003
Nike Air Max Alpha Trainer 6,Men's Workout Shoes,3996.0,4995.0,20,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-109,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dce440c0-1148-474b-b4d7-2b83784ed9f4/M+AIR+MAX+ALPHA+TRAINER+6.png",Recycled Materials,4.7,180,FQ1833-109
Nike Air Max Alpha Trainer 6,Men's Workout Shoes,2747.0,4995.0,45,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-102,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9f1b1b80-85a7-4070-acbe-f912a17d9f36/M+AIR+MAX+ALPHA+TRAINER+6.png",Recycled Materials,4.7,180,FQ1833-102
Nike Air Max Alpha Trainer 6,Men's Workout Shoes,4496.0,4995.0,10,https://www.nike.com/ph/t/air-max-alpha-trainer-6-workout-shoes-k6sbg6/FQ1833-012,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8d1df482-ec0e-4737-b95c-a983f0f4930f/M+AIR+MAX+ALPHA+TRAINER+6.png",Recycled Materials,4.7,180,FQ1833-012
Nike Pro Training,Men's Dri-FIT Short-Sleeve Top,1077.0,1795.0,40,https://www.nike.com/ph/t/pro-training-dri-fit-short-sleeve-top-NmOsu1qh/HV0410-551,https://static.nike.com/a/images/t_default/311cc705-b068-4a54-8955-5ce461a1a465/AS+M+NP+DF+NPT+SS+TOP.png,Recycled Materials,0.0,0,HV0410-551
Nike Pro Training,Men's Dri-FIT Short-Sleeve Top,1077.0,1795.0,40,https://www.nike.com/ph/t/pro-training-dri-fit-short-sleeve-top-NmOsu1qh/HV0410-411,https://static.nike.com/a/images/t_default/e73feec3-60de-4dad-8a04-1975e914d43b/AS+M+NP+DF+NPT+SS+TOP.png,Recycled Materials,0.0,0,HV0410-411
Nike Pro Training,Men's Dri-FIT Short-Sleeve Top,1616.0,1795.0,10,https://www.nike.com/ph/t/pro-training-dri-fit-short-sleeve-top-NmOsu1qh/HV0410-619,https://static.nike.com/a/images/t_default/12f3d1c4-4fde-46af-958e-731bee1ea1bd/AS+M+NP+DF+NPT+SS+TOP.png,Recycled Materials,0.0,0,HV0410-619
